Company,Type,Size,Price
0,1,1,5.99
0,1,2,7.99
0,1,3,9.99
0,1,2,7.99
0,1,1,5.99
0,1,2,7.99
0,1,3,9.99
0,1,3,9.99
0,1,4,11.99
0,1,1,8.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,0,1,11.99
0,0,2,13.99
0,0,3,15.99
0,0,4,17.99
0,0,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,2,15.49
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,2,15.49
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,2,15.49
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
0,4,1,11.99
0,4,2,13.99
0,4,3,15.99
0,4,4,17.99
0,4,1,14.99
3,1,2,8.49
3,1,3,10.49
3,1,0,4.29
3,1,2,8.49
3,1,3,10.49
3,1,2,8.49
3,1,3,10.49
3,1,3,12.49
3,1,3,10.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,13.49
3,2,3,16.49
3,2,0,5.29
3,2,2,13.49
3,2,3,16.49
3,2,2,13.49
3,2,3,16.49
3,2,3,18.49
3,2,3,16.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,3,17.49
3,2,3,15.49
3,2,2,13.49
3,2,3,16.49
3,2,0,5.29
3,2,2,13.49
3,2,3,16.49
3,2,2,13.49
3,2,3,16.49
3,2,3,18.49
3,2,3,16.49
3,2,2,12.49
3,2,3,15.49
3,2,0,4.79
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,2,2,12.49
3,2,3,15.49
3,5,3,15.49
3,5,3,15.49
3,5,3,15.49
3,5,3,15.49
3,5,3,15.49
3,6,1,9.99
1,1,0,4.99
1,1,1,10.99
1,1,2,12.99
1,1,2,13.49
1,1,3,15.99
1,1,3,16.49
1,1,5,18.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,1,16.99
1,0,2,21.99
1,0,2,22.49
1,0,3,25.99
1,0,3,26.49
1,0,5,29.99
1,0,1,16.99
1,0,2,21.99
1,0,2,22.49
1,0,3,25.99
1,0,3,26.49
1,0,5,29.99
1,0,1,16.99
1,0,2,21.99
1,0,2,22.49
1,0,3,25.99
1,0,3,26.49
1,0,5,29.99
1,0,1,16.99
1,0,2,21.99
1,0,2,22.49
1,0,3,25.99
1,0,3,26.49
1,0,5,29.99
1,0,1,15.99
1,0,2,20.99
1,0,2,22.49
1,0,3,24.99
1,0,3,26.49
1,0,5,28.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,0,5.99
1,0,1,15.99
1,0,2,19.99
1,0,2,22.24
1,0,3,23.99
1,0,3,26.23
1,0,5,27.99
1,0,2,9.99
1,0,3,13.99
1,0,2,11.99
1,0,3,15.99
1,6,2,19.99
1,6,3,23.99
1,3,0,4.99
1,3,1,12.69
1,3,2,15.34
1,3,2,15.24
1,3,3,18.69
1,3,3,18.74
1,3,5,21.99
2,0,1,12.7
2,0,2,16.2
2,0,3,19.95
2,0,4,23.85
2,0,1,12.7
2,0,2,16.2
2,0,3,19.95
2,0,4,23.85
2,0,1,9.3
2,0,2,11.6
2,0,3,14.45
2,0,4,17.35
2,0,1,12.7
2,0,2,16.2
2,0,3,19.95
2,0,4,23.85
2,0,1,12.7
2,0,2,16.2
2,0,3,19.2
2,0,4,23.85
2,0,1,11.8
2,0,2,14.95
2,0,3,18.65
2,0,4,22.3
